% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
3.13,96.88,,,,"Laundry Facilities, Pool, Gated, Sundeck, Deck, Patio",,,985,,,Portland,11.04,"Laundry Facilities, Pool, Gated, Sundeck, Deck, Patio",,0.88,45.4964179,,-122.6220834,0,2,32,650,1.01,Not Disclosed,31550,,Low-Rise,Creston-Kenilworth,,997,1961,,97202,
51.95,17.53,0.65,,29.87,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Corporate Suites, Gated, Laundry Service, Maid Service, Package Service, Trash Pickup - Door to Door, Storage Space, Elevator, Lounge, Online Services, Sundeck",2.59,1414,546,B,,Portland,0.09,"Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Corporate Suites, Gated, Laundry Service, Maid Service, Package Service, Trash Pickup - Door to Door, Storage Space, Elevator, Lounge, Online Services, Sundeck",,0.9183,45.5128574,,-122.6854494,4,15,308,552,0.56,Not Disclosed,262980,387,Hi-Rise,Arts District,1664,758,1951,,97201,"AXZ, Portland"
65.06,24.10,,,10.84,"Courtyard, Laundry Facilities, Pool, Car Wash Area, Pet Play Area",1.94,1411,727,C,,Portland,6.3,"Courtyard, Laundry Facilities, Pool, Car Wash Area, Pet Play Area",,2.84,45.5347291,,-122.5465331,0,2,83,718,1.00,Not Disclosed,84102,336,Low-Rise,Parkrose Heights,,930,1962,,97220,R1
73.02,26.98,,,,"Courtyard, Laundry Facilities",1.57,1092,695,C,,Newberg,31.57,"Courtyard, Laundry Facilities",,,45.2998510,,-122.9557960,0,1,63,667,1.71,Not Disclosed,46822,,Garden,Yamhill County,,769,1968,,97132,R3
59.15,33.80,,,7.04,"Courtyard, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Waterfront, Laundry Service, Walking/Biking Trails, Bicycle Storage",1.97,1460,741,B,,Lake Oswego,6.56,"Courtyard, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Waterfront, Laundry Service, Walking/Biking Trails, Bicycle Storage",,1.72,45.4174480,,-122.6664060,0,3,71,718,1.19,Not Disclosed,36232,400,Garden,Evergreen,,855,1955,2015,97034,"R0EC, Lake Oswego"
,97.14,2.86,,,"Property Manager on Site, Grill, Recycling, Patio",0.89,995,1123,B,,Canby,8.49,"Property Manager on Site, Grill, Recycling, Patio",,1.6023,45.2661467,,-122.6933519,0,2,35,,,Not Disclosed,40716,,Garden,Canby,1220,1120,1968,,97013,R2
,94.12,5.88,,,,1.18,1350,1142,B,,Scappoose,26.31,,,0.2594,45.7540567,,-122.8827322,0,2,51,,,Not Disclosed,60250,,Garden,Columbia County,1350,1129,1960,,97056-3555,A1
50.00,37.50,12.50,,,Laundry Facilities,1.35,820,606,C,,Vancouver,12.24,Laundry Facilities,,0.8507,45.6378070,,-122.6320540,0,2,32,475,1.25,Not Disclosed,19400,,Low-Rise,Fourth Plain Village,850,700,1968,,98661-5740,"MD, Vancouver"
,100.00,,,,Laundry Facilities,1.27,953,750,C,,Washougal,14.85,Laundry Facilities,,0.94,45.5826930,,-122.3681720,0,2,25,,2.19,Not Disclosed,35000,,Low-Rise,Downtown Washougal,,750,1969,,98671,C1
50.00,50.00,,,,Laundry Facilities,0.85,682,800,C,,Vancouver,9.81,Laundry Facilities,,1,45.6242520,,-122.6410360,0,2,22,700,1.18,Not Disclosed,17600,,Low-Rise,Hudson's Bay,,900,1958,,98661-4908,"MG, Vancouver"
