% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
,100.00,,,,"Laundry Facilities, Storage Space, Freezer",2.39,1794,750,C,,Portland,9.58,"Laundry Facilities, Storage Space, Freezer",,0.46,45.5024630,,-122.6493920,0,2,20,,1.00,Not Disclosed,16236,,Low-Rise,Hosford-Abernethy,,750,1973,,97202-2211,"R2, Portland"
24.00,28.00,32.00,0.16,,"Laundry Facilities, Playground",1.35,1145,845,C,,Hillsboro,9.94,"Laundry Facilities, Playground",1277,2.78,45.5316870,,-122.9640460,0,2,50,570,1.44,Not Disclosed,43008,,Garden,Northwest Hillsboro,916,754,1973,,97124-2768,"A-4, Hillsboro"
,77.42,22.58,,,"Laundry Facilities, Property Manager on Site, Patio",1.20,1149,956,C,,Mcminnville,,"Laundry Facilities, Property Manager on Site, Patio",,1.2043,45.2206122,,-123.1956253,0,2,31,,,Not Disclosed,29850,,Low-Rise,Yamhill County,1150,900,1975,,97128-3310,R4
23.88,47.76,28.36,,,"Clubhouse, Fitness Center, Playground, Pool, Property Manager on Site",1.72,1471,855,B,,Gresham,13.74,"Clubhouse, Fitness Center, Playground, Pool, Property Manager on Site",,9.15,45.5086566,,-122.3983961,0,2,201,627,1.88,Not Disclosed,208500,,Garden,Gresham-Northeast,1029,865,1974,2015,97030,"MDR24, Gresham"
,100.00,,,,"Air Conditioning, Clubhouse, Property Manager on Site, Sauna, Package Service, Maintenance on site, Online Services, Sundeck, Dining Room, Patio, Vinyl Flooring, Window Coverings",1.69,1411,834,B,,Vancouver,10.06,"Air Conditioning, Clubhouse, Property Manager on Site, Sauna, Package Service, Maintenance on site, Online Services, Sundeck, Dining Room, Patio, Vinyl Flooring, Window Coverings",,4.93,45.6349500,,-122.6304700,0,2,80,,1.19,Not Disclosed,73119,,Garden,Harney Heights,,835,1970,,98661-5762,MD
,100.00,,,,"Laundry Facilities, Laundry Service",1.50,1198,800,C,,Vancouver,9.81,"Laundry Facilities, Laundry Service",,2,45.6349030,,-122.6266160,0,1,35,,1.50,Not Disclosed,28000,,Garden,Harney Heights,,800,1978,,98661,MD
28.57,43.96,27.47,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Pool, Sauna, Spa, Tennis Court, Basketball Court, Wi-Fi, Storage Space",1.81,1761,972,C,,Vancouver,9.66,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Pool, Sauna, Spa, Tennis Court, Basketball Court, Wi-Fi, Storage Space",,6.73,45.6329500,,-122.6215100,0,2,182,760,1.86,Not Disclosed,177000,,Garden,Harney Heights,1212,960,1972,,98661-6270,MD
26.09,59.78,13.04,,1.09,"Laundry Facilities, Tennis Court",1.76,1369,779,C,,Vancouver,13.91,"Laundry Facilities, Tennis Court",,3.5917,45.6797957,,-122.6544098,0,3,92,510,1.54,Not Disclosed,76600,510,Low-Rise,Northeast Hazel Dell,1000,854,1978,,98665,"MG, County"
28.57,71.43,,,,Laundry Facilities,,,900,C,,Vancouver,8,Laundry Facilities,,0.95,45.6342877,,-122.5491961,0,2,21,,1.76,Not Disclosed,18190,,Low-Rise,Fircrest,,900,1971,,98684,UB
,96.67,3.33,,,"Business Center, Clubhouse, Laundry Facilities, Property Manager on Site, Car Wash Area, Grill, Pet Play Area",1.59,1530,959,C,,Gresham,0.94,"Business Center, Clubhouse, Laundry Facilities, Property Manager on Site, Car Wash Area, Grill, Pet Play Area",,4.04,45.5108350,,-122.4121830,0,2,90,,2.00,Not Disclosed,87682,,Garden,Gresham-Northeast,1787,931,1979,,97030,"MDR24, Gresham"
12.63,86.32,1.05,,,"24 Hour Access, Property Manager on Site, Recycling, Wi-Fi, Maintenance on site",1.84,1942,1057,C,,Vancouver,8.68,"24 Hour Access, Property Manager on Site, Recycling, Wi-Fi, Maintenance on site",,7.71,45.6073990,,-122.5300710,0,2,95,750,1.22,Not Disclosed,100410,,Garden,Cascade Park,1250,1100,1974,,98683-6574,R-12
,28.57,71.43,,,Playground,0.94,1056,1120,C,,Hillsboro,1.01,Playground,,1.72,45.5317470,,-122.9625600,0,2,28,,2.18,Not Disclosed,44934,,Garden,Northwest Hillsboro,1260,770,1972,,97124-2769,"A2, Hillsboro"
60.00,40.00,,,,"Courtyard, Laundry Facilities, Picnic Area, Laundry Service",1.57,1100,700,C,,Forest Grove,32.35,"Courtyard, Laundry Facilities, Picnic Area, Laundry Service",,1.81,45.5213163,,-123.0898004,0,2,30,600,,Not Disclosed,25654,,Garden,Outlying Washington County,,850,1976,,97116-1996,RMH-Residential Multifam
48.00,48.00,4.00,,,"Air Conditioning, Courtyard, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Basketball Court, Grill, Laundry Service, Maintenance on site, Grill, Smoke Free, Wheelchair Accessible (Rooms)",2.30,1395,606,C,,Gresham,13.48,"Air Conditioning, Courtyard, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Basketball Court, Grill, Laundry Service, Maintenance on site, Grill, Smoke Free, Wheelchair Accessible (Rooms)",,5.93,45.5127520,,-122.4018860,0,2,150,550,2.90,Not Disclosed,98238,,Garden,Gresham-Northeast,750,650,1971,,97030-4374,CMF
24.24,75.76,,,,"Laundry Facilities, Media Center/Movie Theatre, Pet Play Area, Storage Space",1.85,1473,794,C,,Portland,7.41,"Laundry Facilities, Media Center/Movie Theatre, Pet Play Area, Storage Space",,0.7297,45.5189460,,-122.6387360,0,2,33,622,1.13,Not Disclosed,26666,,Low-Rise,Buckman,,850,1970,,97214-3004,R25
31.03,68.97,,,,"Laundry Facilities, Property Manager on Site, Laundry Service, Online Services, Dining Room, Patio",1.37,1158,843,C,,Portland,12.57,"Laundry Facilities, Property Manager on Site, Laundry Service, Online Services, Dining Room, Patio",,1.14,45.4857660,,-122.6367540,0,2,29,650,1.60,Not Disclosed,24974,,Low-Rise,Reed,,930,1972,,97211-6232,N/Av
,100.00,,,,"Laundry Facilities, Property Manager on Site",1.10,992,900,C,,Vancouver,12.94,"Laundry Facilities, Property Manager on Site",,2.34,45.6416865,,-122.6337504,0,2,32,,,Not Disclosed,31810,,Garden,Fourth Plain Village,,900,1975,,98661,R-12
44.44,44.44,,,11.11,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Spa, Tennis Court, Basketball Court, Gameroom, Grill, Media Center/Movie Theatre, Pet Play Area, Shuttle to Train, Volleyball Court",1.47,1295,882,C,,Portland,12.2,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Property Manager on Site, Spa, Tennis Court, Basketball Court, Gameroom, Grill, Media Center/Movie Theatre, Pet Play Area, Shuttle to Train, Volleyball Court",,2.9442,45.4878378,,-122.6347923,0,3,108,773,1.62,Not Disclosed,95831,530,Garden,Reed,,1080,1971,2018,97202-4442,"R1, Portland"
,100.00,,,,"Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Sauna, Spa, Furnished Units Available, Grill, Laundry Service, Recycling, Wi-Fi, Smoke Free, Wheelchair Accessible (Rooms)",1.92,2020,1052,C,,Portland,12.35,"Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Sauna, Spa, Furnished Units Available, Grill, Laundry Service, Recycling, Wi-Fi, Smoke Free, Wheelchair Accessible (Rooms)",,8.22,45.4849380,,-122.6332120,0,2,143,,1.46,Not Disclosed,150472,,Garden,Reed,,1052,1979,,97202,R2
23.21,67.86,7.14,0.0179,,"24 Hour Access, Air Conditioning, Controlled Access, Fitness Center, Laundry Facilities, Property Manager on Site, Tenant Controlled HVAC, Renters Insurance Program, Hearing Impaired Accessible, Maintenance on site, Online Services, Vision Impaired Accessible, Handrails, Office, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Individual Locking Bedrooms, Private Bathroom",2.18,1728,793,C,,Vancouver,12.73,"24 Hour Access, Air Conditioning, Controlled Access, Fitness Center, Laundry Facilities, Property Manager on Site, Tenant Controlled HVAC, Renters Insurance Program, Hearing Impaired Accessible, Maintenance on site, Online Services, Vision Impaired Accessible, Handrails, Office, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Individual Locking Bedrooms, Private Bathroom",2000,10.54,45.6442039,,-122.6344721,0,2,56,600,3.06,Not Disclosed,44400,,Garden,Fourth Plain Village,1050,800,1972,,98661-5063,MD
100.00,,,,,"Laundry Facilities, Patio",1.51,907,600,C,,Portland,11.41,"Laundry Facilities, Patio",,0.7016,45.4960210,,-122.6308580,0,2,26,600,,Not Disclosed,17310,,Low-Rise,Creston-Kenilworth,,,1978,,97202-3051,N/Av
,100.00,,,,,0.82,740,900,C,,Vancouver,11.26,,,2.02,45.6464810,,-122.6124180,0,1,24,,1.92,Not Disclosed,22320,,Garden,Bagley Downs,,900,1979,,98661,MG
27.91,72.09,,,,"Laundry Facilities, Property Manager on Site, Laundry Service, Package Service, Storage Space, Dining Room, Vinyl Flooring",1.45,1290,888,C,,Portland,4.43,"Laundry Facilities, Property Manager on Site, Laundry Service, Package Service, Storage Space, Dining Room, Vinyl Flooring",,2.34,45.4556664,,-122.7105930,0,2,43,675,,Not Disclosed,35740,,Garden,Markham,,970,1976,,97219-6122,R2
24.62,47.69,3.08,,24.62,"Clubhouse, Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Yard, Maintenance on site, Deck, Lawn, Patio",1.75,1284,735,C,,Portland,4.3,"Clubhouse, Laundry Facilities, Picnic Area, Property Manager on Site, Grill, Yard, Maintenance on site, Deck, Lawn, Patio",,3.64,45.4540230,,-122.7136440,0,2,65,650,1.56,Not Disclosed,48315,495,Garden,West Portland Park,1175,875,1974,,97219,"R2, Portland"
51.61,48.39,,,,Air Conditioning,1.05,717,680,C,,Portland,11.24,Air Conditioning,,1.07,45.4956950,,-122.6256570,0,2,31,533,0.00,Not Disclosed,22876,,Garden,Creston-Kenilworth,,837,1978,,97202,R1
20.00,80.00,,,,"Courtyard, Laundry Facilities",1.47,1124,762,C,,Portland,4.17,"Courtyard, Laundry Facilities",,1,45.4873920,,-122.7228160,0,2,20,484,1.03,Not Disclosed,24334,,Garden,Bridlemile,,832,1976,,97221,R2
64.37,34.48,,,1.15,Laundry Facilities,1.96,1275,648,C,,Portland,3.72,Laundry Facilities,,2.6,45.4682610,,-122.7225690,0,2,86,518,1.48,Not Disclosed,57368,,Garden,Multnomah,,900,1972,,97219,R1
,100.00,,,,,1.21,1212,1000,C,,Vancouver,13.46,,,2.32,45.6587272,,-122.6333393,0,2,50,,1.21,Not Disclosed,53724,,Garden,Walnut Grove,,1000,1978,,98661-2363,"R18, Vancouver"
50.00,50.00,,,,,,,875,C,,Portland,8.31,,,0.4591,45.5033078,,-122.6104019,0,2,20,750,,Not Disclosed,17500,,Low-Rise,Richmond,,1000,1976,,97206-1415,N/Av
60.00,40.00,,,,"Laundry Facilities, Laundry Service, Online Services",1.74,1225,702,C,,Portland,11.75,"Laundry Facilities, Laundry Service, Online Services",,0.4408,45.4781400,,-122.6083360,0,2,20,638,1.00,Not Disclosed,14868,,Low-Rise,Woodstock,,800,1973,,97206-6838,"R1, Portland"
,50.00,50.00,,,"Playground, Pet Play Area",1.35,1757,1300,C,,Vancouver,13.98,"Playground, Pet Play Area",,2.68,45.6604610,,-122.6352380,0,2,48,,1.02,Not Disclosed,62400,,Garden,Walnut Grove,1400,1200,1972,,98661-2339,MD
50.25,39.70,10.05,,,"Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Spa, Media Center/Movie Theatre, Pet Play Area, Walking/Biking Trails, Online Services, Patio",2.01,1504,747,B,,Vancouver,11.39,"Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Spa, Media Center/Movie Theatre, Pet Play Area, Walking/Biking Trails, Online Services, Patio",,,45.6455230,,-122.6130870,0,2,199,640,0.81,Not Disclosed,146880,,Garden,Bagley Downs,950,830,1978,,98661,
23.37,58.70,17.93,,,"Laundry Facilities, Playground, Tennis Court, Online Services, Deck, Patio",1.46,1115,763,C,,Vancouver,11.26,"Laundry Facilities, Playground, Tennis Court, Online Services, Deck, Patio",,9.71,45.6440360,,-122.6141690,0,2,184,592,1.78,Not Disclosed,141028,,Garden,Bagley Downs,946,776,1978,,98661-6763,"R-30, Vancouver"
,,,,,,,,,C,,Portland,0.6,,,0.923554,45.5210520,,-122.6020270,0,2,25,,1.14,Not Disclosed,28134,,Low-Rise,Mt Tabor,,,1971,,97215-1231,N/Av
