% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
14.66,54.45,30.89,,,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Sauna, Spa, Tennis Court, Tanning Salon, Basketball Court, Wi-Fi, Storage Space, Smoke Free, Wheelchair Accessible (Rooms)",1.43,1656,1159,A,,Vancouver,15.99,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Sauna, Spa, Tennis Court, Tanning Salon, Basketball Court, Wi-Fi, Storage Space, Smoke Free, Wheelchair Accessible (Rooms)",,9.83,45.7208891,,-122.6696280,0,3,191,835,,Not Disclosed,223540,,Garden,Knapp,1401,1111,1996,,98685,MD
,100.00,,,,"Air Conditioning, Courtyard, Property Manager on Site, Walking/Biking Trails, Wheelchair Accessible (Rooms)",2.01,1812,900,B,,Camas,14.25,"Air Conditioning, Courtyard, Property Manager on Site, Walking/Biking Trails, Wheelchair Accessible (Rooms)",,3.3,45.5887090,,-122.3781210,0,2,60,,0.63,Not Disclosed,79188,,Garden,Outlying Vancouver,,900,1995,,98607,MF
,,,,,"24 Hour Access, Playground, Storage Space, Bicycle Storage, Online Services, Patio, Porch",1.33,1244,932,B,,Scappoose,,"24 Hour Access, Playground, Storage Space, Bicycle Storage, Online Services, Patio, Porch",,2.113659,45.7576932,,-122.8816007,0,3,45,,,Not Disclosed,92071,,Garden,Columbia County,,,1996,,97056-3599,A1
,100.00,,,,"Air Conditioning, Laundry Facilities, Picnic Area, Security System",1.10,1025,928,C,,Vancouver,11.12,"Air Conditioning, Laundry Facilities, Picnic Area, Security System",,1.86,45.6442170,,-122.6063020,0,2,56,,1.64,Not Disclosed,51968,,Low-Rise,Bagley Downs,,928,1992,,98661-7286,MG
13.04,52.17,34.78,,,"24 Hour Access, Air Conditioning, Clubhouse, Courtyard, Fitness Center, Playground, Property Manager on Site, Patio, Recreation Room, Wheelchair Accessible (Rooms), Window Coverings",1.54,1493,970,C,,Canby,9.58,"24 Hour Access, Air Conditioning, Clubhouse, Courtyard, Fitness Center, Playground, Property Manager on Site, Patio, Recreation Room, Wheelchair Accessible (Rooms), Window Coverings",,5.75,45.2619065,,-122.6807987,0,1,92,643,2.00,Not Disclosed,92172,,Garden,Canby,1164,923,1992,2018,97013,"R2, Canby"
22.22,66.67,11.11,,,"Air Conditioning, Smoke Free, Wheelchair Accessible (Rooms)",1.38,1304,946,B,,Vancouver,9.77,"Air Conditioning, Smoke Free, Wheelchair Accessible (Rooms)",,3.18,45.6184785,,-122.5030938,0,2,72,700,1.85,Not Disclosed,68100,,Garden,Bennington,1250,977,1998,,98684,XD
21.43,57.14,21.43,,,"Air Conditioning, Playground, Pool, Property Manager on Site, Spa, Basketball Court, Deck, Patio, Smoke Free, Wheelchair Accessible (Rooms)",2.18,1810,831,B,,Gresham,1.01,"Air Conditioning, Playground, Pool, Property Manager on Site, Spa, Basketball Court, Deck, Patio, Smoke Free, Wheelchair Accessible (Rooms)",,4.67,45.4928291,,-122.4117896,0,2,112,626,1.51,Not Disclosed,98384,,Garden,Mt Hood,1021,837,1995,,97080-8177,MDR-24
65.52,20.69,,,13.79,"Air Conditioning, Controlled Access, Clubhouse, Courtyard, Fitness Center, Gated, Pet Play Area, Wi-Fi, Wheelchair Accessible (Rooms)",2.16,1563,724,B,,Portland,0.28,"Air Conditioning, Controlled Access, Clubhouse, Courtyard, Fitness Center, Gated, Pet Play Area, Wi-Fi, Wheelchair Accessible (Rooms)",,0.9183,45.5333160,,-122.6591970,2,4,116,653,0.52,Not Disclosed,168766,701,Mid-Rise,Lloyd District,,964,1999,,97232,"CXd, Portland"
39.70,48.24,4.02,,8.04,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Sauna, Spa, Basketball Court, Breakfast/Coffee Concierge, Grill, Package Service, Racquetball Court, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",1.92,1637,854,B,,Vancouver,7.17,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Sauna, Spa, Basketball Court, Breakfast/Coffee Concierge, Grill, Package Service, Racquetball Court, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,19.49,45.6251478,,-122.5560523,0,2,398,698,10.00,Not Disclosed,350000,475,Garden,Fircrest,1205,1017,1989,,98684-5113,ME
100.00,,,,,"Air Conditioning, Property Manager on Site",1.42,1063,750,C,,Vancouver,7.53,"Air Conditioning, Property Manager on Site",,2.57,45.6165670,,-122.5436940,0,2,24,750,1.09,Not Disclosed,40000,,Garden,Cascade Park,,,1993,,98683-4045,MG
