% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
40.08,28.02,,,31.91,"Air Conditioning, Controlled Access, Courtyard, Fitness Center, Pool, Property Manager on Site, Spa, Grill, Pet Play Area, Smoke Free, Bicycle Storage, Elevator, Maintenance on site, Pet Washing Station, Vinyl Flooring",2.04,1721,842,A,,Portland,0.61,"Air Conditioning, Controlled Access, Courtyard, Fitness Center, Pool, Property Manager on Site, Spa, Grill, Pet Play Area, Smoke Free, Bicycle Storage, Elevator, Maintenance on site, Pet Washing Station, Vinyl Flooring",,2.91,45.6043636,,-122.6773466,4,6,257,694,,$24.00,256000,662,Mid-Rise,Bridgeton,,1258,2020,,97217,CM2
52.16,18.44,1.44,,27.95,"Air Conditioning, Controlled Access, Clubhouse, Fitness Center, Roof Terrace, Storage Space, Bicycle Storage, Car Charging Station, Elevator, Pet Washing Station, Vinyl Flooring",2.56,1937,756,A,,Portland,8.53,"Air Conditioning, Controlled Access, Clubhouse, Fitness Center, Roof Terrace, Storage Space, Bicycle Storage, Car Charging Station, Elevator, Pet Washing Station, Vinyl Flooring",,4.23,45.5155674,LEED Interiors - Gold,-122.6551966,4,5,347,696,2.89,$29.00 - 35.00,347000,462,Mid-Rise,Buckman,935,1362,2017,,97214-2521,EXd
69.64,16.67,,,13.69,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, LEED Certified - Gold, Bicycle Storage, Community-Wide WiFi, Elevator, Maintenance on site, Vinyl Flooring, Individual Leases Available",2.81,1842,655,A,,Portland,8.44,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, LEED Certified - Gold, Bicycle Storage, Community-Wide WiFi, Elevator, Maintenance on site, Vinyl Flooring, Individual Leases Available",,0.6,45.5161565,LEED Interiors - Gold,-122.6540665,2,7,168,605,,$32.00 - 35.00,151200,478,Mid-Rise,Buckman,,1018,2020,,97214-2510,EX
54.69,40.63,,,4.69,,2.72,2160,793,A,,Portland,0.37,,,,45.5360874,,-122.6991188,1,5,64,684,,$50.00,51200,421,Mid-Rise,Uptown Portland,,983,2021,,97210-2050,
71.74,15.22,,,13.04,"Air Conditioning, Energy Star Labeled, On-Site Retail, Bicycle Storage, Elevator, Pet Washing Station, Patio, Key Fob Entry",2.34,1566,669,B,,Portland,7.28,"Air Conditioning, Energy Star Labeled, On-Site Retail, Bicycle Storage, Elevator, Pet Washing Station, Patio, Key Fob Entry",,0.22,45.5123181,,-122.6121189,1,4,46,684,0.00,$28.00,46000,486,Mid-Rise,Mt Tabor,,755,2020,,97215,CS
55.71,23.74,2.74,,17.81,"Air Conditioning, Courtyard, Fitness Center, On-Site Retail",2.38,1754,736,B,,Tigard,1.89,"Air Conditioning, Courtyard, Fitness Center, On-Site Retail",,1.62,45.4334454,,-122.7509036,0,6,219,674,,$28.00,257059,462,Mid-Rise,Tigard Triangle,1353,1016,2022,,97223-6093,
77.54,9.42,,,13.04,"Air Conditioning, Clubhouse, Fitness Center, Grill, On-Site Retail, Package Service, Bicycle Storage, Patio",2.61,1728,662,A,,Portland,0.12,"Air Conditioning, Clubhouse, Fitness Center, Grill, On-Site Retail, Package Service, Bicycle Storage, Patio",,,45.5227101,,-122.6882864,2,8,138,647,0.00,$27.00,130000,497,Mid-Rise,Goose Hollow,,1027,2020,,97205-1811,
38.10,28.57,,,33.33,"Business Center, Clubhouse, Fitness Center, Storage Space, Bicycle Storage, Maintenance on site, Pet Care",2.61,1788,684,A,,Portland,11.24,"Business Center, Clubhouse, Fitness Center, Storage Space, Bicycle Storage, Maintenance on site, Pet Care",,0.86,45.5894727,,-122.7514580,2,4,105,663,1.25,$28.00,89492,487,Mid-Rise,St Johns,,945,2018,,97203-3707,
86.67,10.59,,,2.75,"24 Hour Access, Air Conditioning, Controlled Access, Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Spa, Gated, Grill, On-Site Retail, Recycling, Wi-Fi, Bicycle Storage, Car Charging Station, Community-Wide WiFi, Elevator, Lounge, Maintenance on site, Sundeck, Grill, Island Kitchen, Recreation Room, Window Coverings, Public Transportation",2.44,1839,753,A,,Hillsboro,0.07,"24 Hour Access, Air Conditioning, Controlled Access, Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Spa, Gated, Grill, On-Site Retail, Recycling, Wi-Fi, Bicycle Storage, Car Charging Station, Community-Wide WiFi, Elevator, Lounge, Maintenance on site, Sundeck, Grill, Island Kitchen, Recreation Room, Window Coverings, Public Transportation",,1.67,45.5308488,,-122.9157633,3,6,255,718,0.62,$30.00,208330,537,Mid-Rise,Orenco Station,,1094,2015,,97124,SCC-SC
55.03,22.33,7.23,,15.41,"24 Hour Access, Clubhouse, Fitness Center, Pool, Property Manager on Site, On-Site Retail, Pet Play Area, Pet Washing Station, Freezer, Porch",2.29,1716,750,A,,Gresham,0.37,"24 Hour Access, Clubhouse, Fitness Center, Pool, Property Manager on Site, On-Site Retail, Pet Play Area, Pet Washing Station, Freezer, Porch",,,45.5091910,,-122.4413430,3,5,318,668,,$26.00,301211,534,Mid-Rise,Gresham-Northwest,1184,963,2021,,97030,
51.28,,,,48.72,"24 Hour Access, Air Conditioning, Controlled Access, Fitness Center, Property Manager on Site, Tenant Controlled HVAC, Energy Star Labeled, Renters Insurance Program, Walking/Biking Trails, Storage Space, Bicycle Storage, Elevator, Hearing Impaired Accessible, Maintenance on site, Multi Use Room, Online Services, Vision Impaired Accessible, Handrails, Patio, Recreation Room, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Individual Locking Bedrooms, Private Bathroom",3.20,1336,417,B,,Portland,6.91,"24 Hour Access, Air Conditioning, Controlled Access, Fitness Center, Property Manager on Site, Tenant Controlled HVAC, Energy Star Labeled, Renters Insurance Program, Walking/Biking Trails, Storage Space, Bicycle Storage, Elevator, Hearing Impaired Accessible, Maintenance on site, Multi Use Room, Online Services, Vision Impaired Accessible, Handrails, Patio, Recreation Room, Trash Compactor, Vinyl Flooring, Warming Drawer, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Individual Locking Bedrooms, Private Bathroom",,,45.5251786,,-122.6369964,1,4,117,429,,$32.00,62934,405,Mid-Rise,Kerns,,,2021,,97232-3246,
48.14,34.92,,,16.95,,3.02,2350,779,A,,Portland,0.2,,,0.68,45.5269551,LEED Interiors - Gold,-122.6858146,0,12,295,675,,$30.00 - 33.00,275000,510,Mid-Rise,Pearl,,1055,2020,,97209,
79.64,13.77,,,6.59,"24 Hour Access, Air Conditioning, On-Site Retail, Roof Terrace, Bicycle Storage, Community-Wide WiFi, Window Coverings",2.82,2225,789,B,,Vancouver,11.85,"24 Hour Access, Air Conditioning, On-Site Retail, Roof Terrace, Bicycle Storage, Community-Wide WiFi, Window Coverings",,1.03,45.6342500,LEED Interiors - Silver,-122.6718640,2,6,167,751,,$18.00,235624,702,Mid-Rise,Downtown Vancouver,,1052,2018,,98660-2608,CC
100.00,,,,,On-Site Retail,1.26,1089,865,A,,Vancouver,12.11,On-Site Retail,,0.44,45.6323426,,-122.6826843,0,3,21,865,,$18.00,22000,,Low-Rise,Esther Short,,,2020,,98660,City Center
69.44,,,,30.56,"Elevator, Public Transportation",2.02,1142,565,B,,Portland,6.98,"Elevator, Public Transportation",,0.19,45.5534790,,-122.6611750,0,5,36,539,0.00,$30.00,27240,625,Mid-Rise,King,,,2015,,97211-3477,RH
84.09,9.09,,,6.82,"Air Conditioning, Controlled Access, Courtyard, Grill, Roof Terrace, Bicycle Storage, Elevator, Zen Garden, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Key Fob Entry",3.03,1455,480,A,,Portland,0.5,"Air Conditioning, Controlled Access, Courtyard, Grill, Roof Terrace, Bicycle Storage, Elevator, Zen Garden, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Key Fob Entry",,0.23,45.5524541,,-122.6753338,1,4,44,445,,$28.00,25134,495,Mid-Rise,Boise,,787,2013,,97227-1165,CS
