% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
62.81,28.93,,,8.26,"Air Conditioning, Business Center, Picnic Area, Breakfast/Coffee Concierge, Grill, On-Site Retail, Elevator, Wheelchair Accessible (Rooms)",2.65,2500,944,A,,Portland,0.11,"Air Conditioning, Business Center, Picnic Area, Breakfast/Coffee Concierge, Grill, On-Site Retail, Elevator, Wheelchair Accessible (Rooms)",,0.92,45.5240629,LEED Interiors - Gold,-122.6837058,3,16,242,862,2.00,Not Disclosed,285000,685,Hi-Rise,Pearl,,1200,2005,,97209,"EXd, Portland"
40.24,40.24,,,19.51,"24 Hour Access, Air Conditioning, Controlled Access, Fitness Center, Property Manager on Site, Tenant Controlled HVAC, Gated, On-Site Retail, Package Service, Walking/Biking Trails, Storage Space, Elevator, Online Services, Pet Washing Station, Freezer, Patio, Vinyl Flooring, Wheelchair Accessible (Rooms), Window Coverings",1.69,1373,811,A,,Gresham,0.29,"24 Hour Access, Air Conditioning, Controlled Access, Fitness Center, Property Manager on Site, Tenant Controlled HVAC, Gated, On-Site Retail, Package Service, Walking/Biking Trails, Storage Space, Elevator, Online Services, Pet Washing Station, Freezer, Patio, Vinyl Flooring, Wheelchair Accessible (Rooms), Window Coverings",,1.48,45.5069615,,-122.4408586,0,5,82,747,0.86,Not Disclosed,116736,455,Mid-Rise,Gresham-Northwest,,1048,2006,,97030,TDH-C
29.30,25.64,12.09,,32.97,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Corporate Suites, Disposal Chutes, Dry Cleaning Service, Guest Apartment, Media Center/Movie Theatre, Package Service, Planned Social Activities, Recycling, Storage Space, Bicycle Storage, Car Charging Station, Composting, Conference Rooms, Elevator, Lounge, On-Site ATM, Smoke Free",2.80,2858,1020,A,,Portland,0.12,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Corporate Suites, Disposal Chutes, Dry Cleaning Service, Guest Apartment, Media Center/Movie Theatre, Package Service, Planned Social Activities, Recycling, Storage Space, Bicycle Storage, Car Charging Station, Composting, Conference Rooms, Elevator, Lounge, On-Site ATM, Smoke Free",,0.7,45.5223181,LEED Interiors - Platinum,-122.6838113,5,22,273,794,0.58,Not Disclosed,550000,610,Hi-Rise,Arts District,1852,1415,2009,,97205-2361,RX
36.36,40.91,22.73,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Playground, Spa, Corporate Suites, Gated, Gameroom, Online Services, Patio, Wheelchair Accessible (Rooms), Window Coverings",2.09,2015,964,B,,Gresham,0.46,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Playground, Spa, Corporate Suites, Gated, Gameroom, Online Services, Patio, Wheelchair Accessible (Rooms), Window Coverings",,8.1711,45.5076333,,-122.4432347,1,3,264,672,1.02,Not Disclosed,267762,,Garden,Gresham-Northwest,1293,1042,2003,2017,97030,MDR-C
15.00,85.00,,,,"Air Conditioning, Clubhouse, Fitness Center, Wheelchair Accessible (Rooms)",1.33,1164,878,A,,Battle Ground,18.64,"Air Conditioning, Clubhouse, Fitness Center, Wheelchair Accessible (Rooms)",,4.99,45.7776773,,-122.5541988,0,2,80,747,1.50,Not Disclosed,70232,,Garden,Outlying Clark  County,,901,2009,,98604,C1
96.72,,,,3.28,"Air Conditioning, Business Center, Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Tennis Court, Breakfast/Coffee Concierge, Recycling, Walking/Biking Trails, Bicycle Storage, Elevator, Smoke Free, Wheelchair Accessible (Rooms)",1.84,1229,668,A,,Portland,0.62,"Air Conditioning, Business Center, Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Tennis Court, Breakfast/Coffee Concierge, Recycling, Walking/Biking Trails, Bicycle Storage, Elevator, Smoke Free, Wheelchair Accessible (Rooms)",,0.83,45.5250267,,-122.6498543,2,5,122,674,1.14,Not Disclosed,87535,535,Mid-Rise,Kerns,,,2000,,97232,EX
27.89,50.34,21.77,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Tennis Court, Grill, Package Service, Wi-Fi, Storage Space, Maintenance on site, Dining Room, Window Coverings",1.82,2068,1133,A,,Vancouver,9.24,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Property Manager on Site, Tennis Court, Grill, Package Service, Wi-Fi, Storage Space, Maintenance on site, Dining Room, Window Coverings",,6.75,45.6383474,,-122.5951629,0,2,147,928,1.58,Not Disclosed,165371,,Garden,Ogden,1372,1144,2009,2015,98661,"R-22, Vancouver"
37.05,60.07,2.88,,,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Playground, Pool, Property Manager on Site, Spa, Gated, Planned Social Activities, Smoke Free, Wheelchair Accessible (Rooms)",1.68,1781,1061,A,,Vancouver,7.84,"Air Conditioning, Business Center, Clubhouse, Fitness Center, Playground, Pool, Property Manager on Site, Spa, Gated, Planned Social Activities, Smoke Free, Wheelchair Accessible (Rooms)",,17.26,45.6363029,,-122.5512967,0,3,556,780,,Not Disclosed,23652,,Garden,Landover-Sharmel,1723,1203,2008,,98684-4886,MD
,10.00,90.00,,,"Air Conditioning, Yard, Patio, Vinyl Flooring",1.47,1911,1303,B,,Gresham,15.75,"Air Conditioning, Yard, Patio, Vinyl Flooring",,0.0468,45.4840050,,-122.3741490,0,2,30,,,Not Disclosed,30000,,Garden,Kelly Creek,1287,1450,2008,,97080-3100,TR
46.60,3.88,,,49.51,"Air Conditioning, Business Center, Courtyard, Property Manager on Site, Gated, On-Site Retail, Pet Play Area, Walking/Biking Trails, Elevator, Loft Layout, Patio, Wheelchair Accessible (Rooms)",2.54,1805,711,B,,Portland,0.26,"Air Conditioning, Business Center, Courtyard, Property Manager on Site, Gated, On-Site Retail, Pet Play Area, Walking/Biking Trails, Elevator, Loft Layout, Patio, Wheelchair Accessible (Rooms)",,0.4591,45.5267449,,-122.6900815,2,6,103,763,0.66,Not Disclosed,94727,638,Mid-Rise,Uptown Portland,,1020,2009,,97209-2088,EX
20.78,54.55,24.68,,,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Pool, Sauna, Spa, Gated, Tanning Salon, Basketball Court, Media Center/Movie Theatre, Wi-Fi, Grill, Freezer, Pantry, Patio, Wheelchair Accessible (Rooms)",1.15,1274,1108,A,,Camas,10.13,"24 Hour Access, Air Conditioning, Clubhouse, Fitness Center, Pool, Sauna, Spa, Gated, Tanning Salon, Basketball Court, Media Center/Movie Theatre, Wi-Fi, Grill, Freezer, Pantry, Patio, Wheelchair Accessible (Rooms)",,6.42,45.6077682,,-122.4734600,0,3,154,864,0.94,Not Disclosed,169643,,Garden,Fisher's Village,1399,1070,2009,,98607-8678,MD
32.81,64.06,3.13,,,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Grill, Pet Play Area, Smoke Free, Wheelchair Accessible (Rooms)",1.44,1369,948,A,,Hillsboro,0.83,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Grill, Pet Play Area, Smoke Free, Wheelchair Accessible (Rooms)",,2.21,45.5211661,,-122.9567765,0,3,64,751,1.95,Not Disclosed,65000,,Garden,Downtown Hillsboro,1267,1034,2009,,97124,MU-N
100.00,,,,,,,,,B,,Portland,5.57,,,1.03,45.5693365,,-122.6384631,0,3,100,,,Not Disclosed,52611,,Low-Rise,Concordia,,,2009,,97211-6054,IR
71.74,6.52,,,21.74,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",1.87,1109,596,C,,Portland,7.46,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",,0.0884,45.5111792,,-122.6223994,0,3,45,630,,Not Disclosed,40968,420,Low-Rise,Richmond,,780,2003,,97214,R5
69.81,18.87,,,11.32,"Air Conditioning, Courtyard, Grill, On-Site Retail, Recycling, Elevator, Grill, Patio, Wheelchair Accessible (Rooms)",2.45,1968,803,B,,Portland,0.39,"Air Conditioning, Courtyard, Grill, On-Site Retail, Recycling, Elevator, Grill, Patio, Wheelchair Accessible (Rooms)",,1.28,45.5370456,,-122.6184700,1,5,53,712,2.51,Not Disclosed,89086,617,Mid-Rise,Hollywood,,1254,2009,,97213,CSd
9.46,60.14,12.16,0.027000000000000003,15.54,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Basketball Court, Package Service, Storage Space, Health Club Discount, Maintenance on site, Sundeck, Dining Room, Loft Layout, Vinyl Flooring, Window Coverings",1.69,1402,826,A,,Vancouver,10.04,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Basketball Court, Package Service, Storage Space, Health Club Discount, Maintenance on site, Sundeck, Dining Room, Loft Layout, Vinyl Flooring, Window Coverings",1302,18.33,45.6594800,,-122.5560540,0,3,296,656,1.95,Not Disclosed,246884,467,Garden,North Image,1086,873,2000,,98682-1289,"CC, Vancouver"
65.85,14.63,19.51,,,"24 Hour Access, Air Conditioning, Controlled Access, Laundry Facilities, Picnic Area, Property Manager on Site, Tenant Controlled HVAC, Grill, Renters Insurance Program, Hearing Impaired Accessible, Maintenance on site, Online Services, Vision Impaired Accessible, Dining Room, Window Coverings",1.15,1214,1060,B,,Vancouver,11.79,"24 Hour Access, Air Conditioning, Controlled Access, Laundry Facilities, Picnic Area, Property Manager on Site, Tenant Controlled HVAC, Grill, Renters Insurance Program, Hearing Impaired Accessible, Maintenance on site, Online Services, Vision Impaired Accessible, Dining Room, Window Coverings",,2.1992,45.6634300,,-122.6108961,0,2,41,950,1.51,Not Disclosed,56032,,Garden,Walnut Grove,1350,1167,2000,,98661,MD
51.38,48.62,,,,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Property Manager on Site, Tanning Salon, Cabana, Wi-Fi, Deck, Patio, Wheelchair Accessible (Rooms)",1.32,1215,919,B,,Vancouver,11.15,"Air Conditioning, Clubhouse, Courtyard, Fitness Center, Property Manager on Site, Tanning Salon, Cabana, Wi-Fi, Deck, Patio, Wheelchair Accessible (Rooms)",,1.36,45.6473190,,-122.6085050,0,2,218,776,1.28,Not Disclosed,195590,,Garden,Bagley Downs,,1071,2006,,98661,MG
15.91,29.55,13.64,0.1818,22.73,"Air Conditioning, Smoke Free, Patio, Smoke Free, Wheelchair Accessible (Rooms)",1.19,1250,1053,B,,Vancouver,11.24,"Air Conditioning, Smoke Free, Patio, Smoke Free, Wheelchair Accessible (Rooms)",1776,2.54,45.6613107,,-122.6036950,0,2,78,872,1.25,Not Disclosed,76774,400,Townhome,Walnut Grove,1250,1050,2003,,98661-2474,"R-30, Vancouver"
23.53,76.47,,,,"24 Hour Access, Air Conditioning, Laundry Facilities, Property Manager on Site, Smoke Free, Maintenance on site, Patio, Smoke Free, Wheelchair Accessible (Rooms)",1.80,1583,878,B,,Vancouver,11.57,"24 Hour Access, Air Conditioning, Laundry Facilities, Property Manager on Site, Smoke Free, Maintenance on site, Patio, Smoke Free, Wheelchair Accessible (Rooms)",,2.795271,45.6756309,,-122.5325171,0,2,51,767,0.48,Not Disclosed,61786,,Garden,Orchards Area,,912,2003,,98682-5225,MD
,,100.00,,,"Air Conditioning, Gated, Walking/Biking Trails, Yard, Online Services, Island Kitchen, Public Transportation",1.27,2000,1577,B,,Vancouver,11.17,"Air Conditioning, Gated, Walking/Biking Trails, Yard, Online Services, Island Kitchen, Public Transportation",,1.3817,45.6756641,,-122.5752078,0,2,30,,,Not Disclosed,51317,,Garden,Orchards Area,1577,,2007,,98662-3919,ME
50.00,50.00,,,,"Air Conditioning, Wheelchair Accessible (Rooms)",1.90,1565,824,B,,Vancouver,10.06,"Air Conditioning, Wheelchair Accessible (Rooms)",,1.54,45.6600649,,-122.5934642,0,2,32,747,1.07,Not Disclosed,42130,,Garden,Walnut Grove,,901,2005,,98662,R-
4.72,90.57,2.83,,1.89,"Air Conditioning, Business Center, Clubhouse, Laundry Facilities, Furnished Units Available, Smoke Free, Wheelchair Accessible (Rooms)",1.93,1692,879,B,,Portland,0.32,"Air Conditioning, Business Center, Clubhouse, Laundry Facilities, Furnished Units Available, Smoke Free, Wheelchair Accessible (Rooms)",,2.52,45.4997331,,-122.5673695,0,3,104,534,1.37,Not Disclosed,87527,518,Garden,Powellhurst-Gilbert,1190,890,2003,,97266-1981,R2
,100.00,,,,"Air Conditioning, Property Manager on Site, Wheelchair Accessible (Rooms)",1.33,1283,963,C,,Portland,0.51,"Air Conditioning, Property Manager on Site, Wheelchair Accessible (Rooms)",,0.46,45.5071920,,-122.5638440,0,3,36,,1.30,Not Disclosed,34500,,Garden,Gateway,,963,2001,,97216,C01
69.23,30.77,,,,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",2.08,1057,508,B,,Portland,0.24,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",,0.6791,45.5213990,,-122.5550479,0,2,26,450,0.94,Not Disclosed,23384,,Low-Rise,Gateway,,640,2006,,97216,R1
34.04,61.70,,,4.26,"Air Conditioning, Property Manager on Site, Wheelchair Accessible (Rooms)",1.43,1362,953,B,,Vancouver,9.24,"Air Conditioning, Property Manager on Site, Wheelchair Accessible (Rooms)",,1.61,45.6574518,,-122.5583177,0,2,47,900,1.30,Not Disclosed,50580,400,Garden,Kevanna Park,,1020,2002,,98682,MG
22.95,77.05,,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Package Service, Wi-Fi, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",1.85,1601,866,B,,Vancouver,12.95,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Package Service, Wi-Fi, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,10.19,45.7031810,,-122.5570130,0,2,244,747,1.83,Not Disclosed,213884,,Garden,Orchards Area,,901,2007,,98662-3264,XD
3.33,73.33,23.33,,,"Air Conditioning, Fenced Lot, Property Manager on Site, Gated, Recycling, Renters Insurance Program, Smoke Free, Walking/Biking Trails, Online Services, Pond, Deck, Patio, Vinyl Flooring",1.70,1818,1070,B,,Vancouver,9.95,"Air Conditioning, Fenced Lot, Property Manager on Site, Gated, Recycling, Renters Insurance Program, Smoke Free, Walking/Biking Trails, Online Services, Pond, Deck, Patio, Vinyl Flooring",,2.62,45.6612548,,-122.5532244,0,3,60,669,0.00,Not Disclosed,61029,,Garden,North Image,1373,993,2007,,98682,R-18
,100.00,,,,"Air Conditioning, Wheelchair Accessible (Rooms)",0.92,925,1000,B,,Portland,1.03,"Air Conditioning, Wheelchair Accessible (Rooms)",,0.674,45.5075860,,-122.5379750,0,3,30,,1.14,Not Disclosed,30000,,Low-Rise,Mill Park,,1000,2001,,97233,"R1, Portland"
,100.00,,,,"Air Conditioning, Wheelchair Accessible (Rooms)",,,949,B,,Portland,9.91,"Air Conditioning, Wheelchair Accessible (Rooms)",,0.87,45.4912720,,-122.5382570,0,3,36,,1.83,Not Disclosed,27383,,Low-Rise,Powellhurst-Gilbert,,949,2004,,97236-3888,MR3
,100.00,,,,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",0.94,843,899,A,,Portland,9.96,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",,0.88,45.4907580,,-122.5389700,0,3,39,,1.07,Not Disclosed,36971,,Low-Rise,Powellhurst-Gilbert,,899,2000,,97236,R1
,,53.13,0.46880000000000005,,"Air Conditioning, Wheelchair Accessible (Rooms)",1.25,1801,1435,B,,Portland,11.1,"Air Conditioning, Wheelchair Accessible (Rooms)",1435,1.67,45.4796545,,-122.5368962,0,2,32,,0.00,Not Disclosed,45920,,Garden,Powellhurst-Gilbert,1435,,2009,,97236-4607,R2
,48.89,51.11,,,"Controlled Access, Recycling, Online Services, Deck, Dining Room, Linen Closet, Patio, Wheelchair Accessible (Rooms)",1.43,1447,1012,C,,Portland,9.39,"Controlled Access, Recycling, Online Services, Deck, Dining Room, Linen Closet, Patio, Wheelchair Accessible (Rooms)",,1.89,45.5008873,,-122.5329873,0,2,45,,1.40,Not Disclosed,48352,,Garden,Powellhurst-Gilbert,1034,990,2004,,97236-3179,R2a
43.48,56.52,,,,"Air Conditioning, Storage Space, Deck, Dining Room, Patio, Wheelchair Accessible (Rooms)",1.44,1274,885,B,,Beaverton,1.91,"Air Conditioning, Storage Space, Deck, Dining Room, Patio, Wheelchair Accessible (Rooms)",,1.340014,45.4472040,,-122.8045260,0,3,46,717,1.39,Not Disclosed,40704,,Low-Rise,Greenway,,1014,2003,,97008-8101,"R1, Beaverton"
22.14,67.18,10.69,,,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Playground, Pool, Property Manager on Site, Spa, Tanning Salon, Grill, Racquetball Court, Recycling, Online Services, Grill, Deck, Lawn, Patio, Skylights, Wheelchair Accessible (Rooms)",1.83,1834,1001,B,,Vancouver,8.11,"Air Conditioning, Clubhouse, Fitness Center, Picnic Area, Playground, Pool, Property Manager on Site, Spa, Tanning Salon, Grill, Racquetball Court, Recycling, Online Services, Grill, Deck, Lawn, Patio, Skylights, Wheelchair Accessible (Rooms)",,4.84,45.6146302,,-122.5349196,0,3,131,670,1.06,Not Disclosed,130148,,Garden,Cascade Park,1300,1063,2004,,98683,ME
53.33,46.67,,,,"Air Conditioning, Basketball Court, Smoke Free, Wheelchair Accessible (Rooms)",1.50,1232,819,B,,Vancouver,8.08,"Air Conditioning, Basketball Court, Smoke Free, Wheelchair Accessible (Rooms)",,2.39,45.6140450,,-122.5319720,0,2,45,747,1.12,Not Disclosed,44276,,Garden,Cascade Park,,901,2005,,98683,R-3
,0.83,99.17,,,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Dining Room, Vinyl Flooring, Window Coverings",1.65,1679,1020,A,,Vancouver,9.05,"Air Conditioning, Laundry Facilities, Playground, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Dining Room, Vinyl Flooring, Window Coverings",,5.7,45.6404800,,-122.5302080,0,2,120,,1.98,Not Disclosed,126120,,Garden,Landover-Sharmel,1021,981,2007,,98684,R22
27.50,67.50,5.00,,,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Spa, Package Service, Wi-Fi, Storage Space, Maintenance on site, Window Coverings",1.74,1896,1088,B,,Vancouver,15.14,"Air Conditioning, Business Center, Controlled Access, Clubhouse, Fitness Center, Laundry Facilities, Playground, Pool, Property Manager on Site, Spa, Package Service, Wi-Fi, Storage Space, Maintenance on site, Window Coverings",,9.82,45.7234410,,-122.6467040,0,3,400,742,0.93,Not Disclosed,448846,,Garden,Pleasant Valley Vancouver,1672,1186,2005,,98686,ME
,100.00,,,,"Air Conditioning, Property Manager on Site, Recycling, Deck, Wheelchair Accessible (Rooms)",1.48,1221,823,B,,Portland,0.16,"Air Conditioning, Property Manager on Site, Recycling, Deck, Wheelchair Accessible (Rooms)",,0.75,45.5235333,,-122.5123188,0,3,33,,1.30,Not Disclosed,28500,,Low-Rise,Gateway,,823,2005,,97230,RHT
10.71,89.29,,,,"Air Conditioning, Property Manager on Site, Wheelchair Accessible (Rooms)",1.04,901,866,A,,Portland,0.4,"Air Conditioning, Property Manager on Site, Wheelchair Accessible (Rooms)",,0.6319,45.5195510,,-122.4996543,0,3,28,650,,Not Disclosed,23136,,Low-Rise,Glenfair,,893,2005,,97233,R1
37.66,31.17,31.17,,,"Air Conditioning, Controlled Access, Playground, Property Manager on Site, Security System, Gated, Planned Social Activities, Maintenance on site, Dining Room, Patio, Smoke Free, Wheelchair Accessible (Rooms)",1.95,1615,827,B,,Portland,6.09,"Air Conditioning, Controlled Access, Playground, Property Manager on Site, Security System, Gated, Planned Social Activities, Maintenance on site, Dining Room, Patio, Smoke Free, Wheelchair Accessible (Rooms)",,6.04,45.5487420,,-122.4968330,0,2,77,532,1.32,Not Disclosed,75786,,Garden,Wilkes-Hemlock,1044,968,2006,,97230,R3
31.58,55.26,13.16,,,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Spa, Package Service, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",1.95,1844,944,B,,Happy Valley,16.31,"Air Conditioning, Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Spa, Package Service, Storage Space, Lounge, Maintenance on site, Sundeck, Dining Room, Vinyl Flooring, Window Coverings",,8.9112,45.4261370,,-122.4958830,0,3,228,740,1.32,Not Disclosed,226404,,Garden,Rock Creek,1168,1009,2007,,97015-3602,MURM1
