% 1-Bed,% 2-Bed,% 3-Bed,% 4-Bed,% Studios,Amenities,Avg Effective/SF,Avg Effective/Unit,Avg Unit SF,Building Class,Ceiling Ht,City,Closest Transit Stop Dist (mi),Features,Four Bedroom Avg SF,Land Area (AC),Latitude,LEED Certified,Longitude,Number Of Elevators,Number Of Stories,Number Of Units,One Bedroom Avg SF,Parking Ratio,Rent/SF/Yr,RBA,Studio Avg SF,Style,Submarket Name,Three Bedroom Avg SF,Two Bedroom Avg SF,Year Built,Year Renovated,Zip,Zoning
81.13,16.98,1.89,,,"24 Hour Access, Air Conditioning, Controlled Access, Laundry Facilities, Package Service, Trash Pickup - Door to Door, Storage Space, Bicycle Storage, Elevator, Freezer, Instant Hot Water, Lawn, Loft Layout, Patio, Smoke Free, Green Community",2.83,1878,666,A,,Portland,9.54,"24 Hour Access, Air Conditioning, Controlled Access, Laundry Facilities, Package Service, Trash Pickup - Door to Door, Storage Space, Bicycle Storage, Elevator, Freezer, Instant Hot Water, Lawn, Loft Layout, Patio, Smoke Free, Green Community",,0.43,45.5118064,LEED Interiors - Gold,-122.6448980,0,4,51,590,1.40,$36.96,38427,,Mid-Rise,Hosford-Abernethy,1946,896,2009,,97214-4988,C2 R5
65.73,21.35,,,12.92,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Spa, Tenant Controlled HVAC, Tennis Court, Disposal Chutes, Grill, Package Service, Renters Insurance Program, Walking/Biking Trails, Yard, Roof Terrace, Storage Space, Community-Wide WiFi, Conference Rooms, Elevator, Hearing Impaired Accessible, Lounge, Maintenance on site, Multi Use Room, Online Services, Pet Care, Sundeck, Vision Impaired Accessible, Grill, Deck, Freezer, Linen Closet, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Key Fob Entry",2.31,1655,716,B,,Portland,0.11,"24 Hour Access, Air Conditioning, Business Center, Controlled Access, Courtyard, Fitness Center, Laundry Facilities, Picnic Area, Pool, Property Manager on Site, Spa, Tenant Controlled HVAC, Tennis Court, Disposal Chutes, Grill, Package Service, Renters Insurance Program, Walking/Biking Trails, Yard, Roof Terrace, Storage Space, Community-Wide WiFi, Conference Rooms, Elevator, Hearing Impaired Accessible, Lounge, Maintenance on site, Multi Use Room, Online Services, Pet Care, Sundeck, Vision Impaired Accessible, Grill, Deck, Freezer, Linen Closet, Wheelchair Accessible (Rooms), Window Coverings, Public Transportation, Key Fob Entry",,0.92,45.5276270,,-122.6804660,4,6,178,668,0.62,$24.00,194044,543,Mid-Rise,Pearl,,967,2004,,97209,"EX, Portland"
25.00,66.67,8.33,,,"Clubhouse, Fitness Center, Picnic Area, Playground, Tanning Salon, Gameroom, Grill, Recycling, Grill, Built-In Bookshelves, Deck, Patio, Wheelchair Accessible (Rooms)",1.78,1637,917,C,,Vancouver,9.95,"Clubhouse, Fitness Center, Picnic Area, Playground, Tanning Salon, Gameroom, Grill, Recycling, Grill, Built-In Bookshelves, Deck, Patio, Wheelchair Accessible (Rooms)",,4.52,45.6208140,,-122.4997600,0,2,96,697,1.00,Not Disclosed,115672,,Garden,Bennington,1235,960,2000,,98684,R-
,100.00,,,,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",1.34,1172,875,B,,Mcminnville,,"Air Conditioning, Laundry Facilities, Wheelchair Accessible (Rooms)",,3.08,45.2077700,,-123.2427019,0,2,68,,1.86,Not Disclosed,59500,,Garden,Yamhill County,,875,2009,,97128,R
,100.00,,,,"Air Conditioning, Wheelchair Accessible (Rooms)",1.29,1236,960,B,,Camas,14.17,"Air Conditioning, Wheelchair Accessible (Rooms)",,3.05,45.5891260,,-122.3796812,0,3,42,,1.66,Not Disclosed,64023,,Garden,Outlying Vancouver,,960,2000,,98607,MF
41.03,58.97,,,,"Air Conditioning, Controlled Access, Gated, Storage Space, Elevator, Deck, Garden, Patio, Wheelchair Accessible (Rooms)",1.81,1845,1017,B,,Gresham,0.53,"Air Conditioning, Controlled Access, Gated, Storage Space, Elevator, Deck, Garden, Patio, Wheelchair Accessible (Rooms)",,0.61,45.4995222,,-122.4333037,1,4,39,770,1.20,Not Disclosed,47356,,Mid-Rise,Downtown Gresham,,1191,2009,,97030,DCC
37.78,27.27,6.82,,28.13,"Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Picnic Area, Property Manager on Site, Gated, Dry Cleaning Service, Grill, On-Site Retail, Putting Greens, Recycling, Walking/Biking Trails, Elevator, Wheelchair Accessible (Rooms)",2.69,2133,793,A,,Portland,0.09,"Air Conditioning, Business Center, Clubhouse, Courtyard, Fitness Center, Picnic Area, Property Manager on Site, Gated, Dry Cleaning Service, Grill, On-Site Retail, Putting Greens, Recycling, Walking/Biking Trails, Elevator, Wheelchair Accessible (Rooms)",,1.0577,45.5113351,LEED Interiors - Gold,-122.6798515,3,16,352,716,0.76,Not Disclosed,401594,603,Hi-Rise,Waterfront,1257,982,2009,,97201,C1Z
,100.00,,,,"Air Conditioning, Wheelchair Accessible (Rooms)",,,768,C,,Vancouver,12.5,"Air Conditioning, Wheelchair Accessible (Rooms)",,0.5515,45.6383820,,-122.6339080,0,1,24,,2.00,Not Disclosed,18432,,Low-Rise,Fourth Plain Village,,768,2003,,98661-5165,"R12, Vancouver"
10.22,10.95,,,78.83,"Air Conditioning, Controlled Access, Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Gated, Grill, On-Site Retail, Lounge, Wheelchair Accessible (Rooms)",2.50,2918,1186,B,,Vancouver,11.51,"Air Conditioning, Controlled Access, Clubhouse, Courtyard, Fitness Center, Picnic Area, Pool, Gated, Grill, On-Site Retail, Lounge, Wheelchair Accessible (Rooms)",,,45.6276520,,-122.6751060,0,4,136,916,0.72,Not Disclosed,164724,,Mid-Rise,Downtown Vancouver,,1422,2001,,98660,
38.17,48.09,,,13.74,"Air Conditioning, Courtyard, Fitness Center, Picnic Area, Property Manager on Site, Grill, Wheelchair Accessible (Rooms)",2.74,2250,819,B,,Portland,0.06,"Air Conditioning, Courtyard, Fitness Center, Picnic Area, Property Manager on Site, Grill, Wheelchair Accessible (Rooms)",,0.98,45.5297279,,-122.6825893,3,4,131,690,1.19,Not Disclosed,140282,495,Mid-Rise,Pearl,,1016,2000,,97209-3245,EX
